ID,Song Name,Artist,Cover Image URL,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
7wGoVu4Dady5GV0Sv4UIsx,rockstar,"Post Malone, 21 Savage",https://i.scdn.co/image/ab67616d0000b273345f823b6c1dbd3b4cc7b382,0.577,0.522,-6.594,0.0984,0.13,9.03e-05,0.142,0.119,159.772
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,0.351,0.296,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
0TK2YIli7K1leLovkQiNik,Señorita,"Shawn Mendes, Camila Cabello",https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95
7yq4Qj7cqayVTp3FF9CWbm,Riptide,Vance Joy,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654
2EiGECydkS2M8OCcRHQZhT,Take Me To Church,Hozier,https://i.scdn.co/image/ab67616d0000b2739a7dfdafc9e4f8a5db391855,0.456,0.67,-5.212,0.0574,0.588,0.0,0.116,0.405,128.632
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989
1Bk4mFK1shZUoHfYJMwqWp,Wavy,Yerin,https://i.scdn.co/image/ab67616d0000b2732bf7608150318c6f01237cad,0.707,0.907,-4.069,0.0418,0.244,0.0,0.112,0.869,125.04
5edBgVtRD0fvWk140Sl21T,Counting Stars,OneRepublic,https://i.scdn.co/image/ab67616d0000b2730dcd4d3fb73a5d9ba449a5f3,0.662,0.71,-4.945,0.0364,0.0603,0.0,0.119,0.465,121.979
6T8cJz5lAqGer9GUHGyelE,God's Plan,Drake,https://i.scdn.co/image/ab67616d0000b273689b62c26ee70aa450cae449,0.755,0.448,-9.587,0.107,0.0283,3.28e-05,0.514,0.318,77.179
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,0.695,0.763,-3.497,0.0396,0.189,0.00242,0.0863,0.551,120.042
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper",https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,0.841,0.728,-3.37,0.0484,0.0847,0.0,0.149,0.43,130.049
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994
0tKcYR2II1VCQWT79i5NrW,Thunder,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2737956bd9a3d7a15e4c2e37cc6,0.6,0.81,-4.749,0.0479,0.00683,0.21,0.155,0.298,167.88
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93
